year,state,violent_crime_rate,property_crime_rate,murder_rate,rape_rate,robbery_rate,aggravated_assault_rate,burglary_rate,larceny_theft_rate,motor_vehicle_theft_rate
1980,Alabama,448.5,4485.1,13.2,30,132.1,273.2,1526.7,2642.2,316.2
1980,Alaska,436,5209.7,8.9,56.8,81.8,288.5,1259.8,3388.9,561
1980,Arizona,650.9,7519.9,10.3,45.2,193.6,401.8,2155.4,4891.2,473.3
1980,Arkansas,335.2,3475.9,9.2,26.7,80.9,218.4,1119,2169.8,187.1
1980,California,893.6,6939.5,14.5,58.2,384.2,436.7,2316.5,3880,742.9
1980,Colorado,528.6,6804.9,6.9,52.5,160.1,309.2,2030.8,4325.8,448.3
1980,Connecticut,412.5,5469.2,4.7,21.6,218,168.1,1700.6,3089.6,678.9
1980,Delaware,474.8,6301.8,6.9,24.2,137,306.7,1630.5,4216.2,455.1
1980,District of Columbia,2010.6,8012.2,31.5,69.1,1400.6,509.4,2559.7,4890.8,561.7
1980,Florida,983.5,7418.4,14.5,56.9,355.5,556.6,2506.8,4434.2,477.5
1980,Georgia,555.3,5048.3,13.8,44.3,197.6,299.7,1699.2,2976.6,372.4
1980,Hawaii,299.5,7182.8,8.7,34.7,190.2,65.8,1847.5,4723.2,612.1
1980,Idaho,313.4,4468.8,3.1,22.4,46.8,241.1,1238.9,2993,236.9
1980,Illinois,808,5461.1,10.6,34.8,367,395.6,1559.6,3252.5,649
1980,Indiana,377.8,4552.5,8.9,33.1,141.4,194.5,1313.3,2807.1,432.2
1980,Iowa,200.4,4546.4,2.2,14.3,54.9,129,1079.5,3219.1,247.8
1980,Kansas,389.3,4989.5,6.9,31.5,113.1,237.8,1521.4,3196.4,271.7
1980,Kentucky,266.7,3167.1,8.8,19.2,95.2,143.5,1040.8,1875.5,250.7
1980,Louisiana,665,4788.8,15.7,44.5,197,407.8,1523.9,2888.4,376.5
1980,Maine,193.4,4174.2,2.8,12.9,30.8,146.8,1182.8,2772.3,219.1
1980,Maryland,852.4,5777.7,9.5,40.1,392.7,410.1,1698,3629.2,450.5
1980,Massachusetts,601.3,5477.8,4.1,27.3,235.5,334.4,1740.4,2685.8,1051.6
1980,Michigan,639.5,6036.4,10.2,46.6,244,338.6,1741.3,3710.2,584.9
1980,Minnesota,227.8,4571.7,2.6,23.2,99.1,102.9,1246,3029.9,295.9
1980,Mississippi,341.9,3075.2,14.5,24.6,81,221.7,1179.1,1717.8,178.4
1980,Missouri,554.5,4878.6,11.1,32.6,223.6,287.2,1668.9,2795.1,414.6
1980,Montana,222.6,4801.9,4,21,34,163.6,950.6,3529.6,321.7
1980,Nebraska,224.6,4080.6,4.4,23.2,82.2,114.7,915.4,2921.6,243.6
1980,Nevada,912.6,7941.4,20,67.2,460.6,364.9,2906.7,4356.3,678.4
1980,New Hampshire,179.8,4499.8,2.5,17.3,42,118,1312.9,2877,309.9
1980,New Jersey,604.4,5797,6.9,30.7,303.7,263,1878.2,3189.3,729.5
1980,New Mexico,615,5364.1,13.1,43.3,127.9,430.7,1492.5,3521,350.6
1980,New York,1029.5,5882,12.7,30.9,641.3,344.6,2061.6,3060.4,759.9
1980,North Carolina,455,4185.5,10.6,22.7,82.3,339.4,1422.9,2546.4,216.1
1980,North Dakota,54,2909.7,1.2,9.5,7.7,35.6,488.3,2242.2,179.2
1980,Ohio,498.3,4933.1,8.1,34.3,223.7,232.2,1466.3,3040.1,426.7
1980,Oklahoma,419.5,4633.4,10,36.3,104.9,268.4,1692.7,2520.6,420.2
1980,Oregon,490.4,6196.5,5.1,41.5,152.4,291.4,1748.4,4087.8,360.3
1980,Pennsylvania,363.9,3372.4,6.8,23,177.9,156.1,1038.5,1915.5,418.3
1980,Rhode Island,408.5,5524.1,4.4,17.1,118.6,268.3,1716.3,2964.3,843.6
1980,South Carolina,660,4779.2,11.4,37.5,118.1,493,1670,2803.2,306
1980,South Dakota,126.8,3116.3,0.7,12.5,20.1,93.6,692.5,2255.2,168.6
1980,Tennessee,458.1,4039.8,10.8,37.4,180.6,229.4,1501.5,2175.2,363.1
1980,Texas,550.3,5592.7,16.9,47.3,208.5,277.6,1853.2,3181.4,558.1
1980,Utah,303.3,5577.3,3.8,27.7,80.2,191.7,1321.9,3931.8,323.6
1980,Vermont,178.8,4809.7,2.2,29.1,38.9,108.5,1526.7,2988.1,294.9
1980,Virginia,307.2,4312.8,8.6,27.4,120.1,151.1,1202.6,2882.3,227.9
1980,Washington,464.3,6450.7,5.5,52.7,135.1,271,1862.2,4192.9,395.6
1980,West Virginia,183.7,2367.9,7.1,15.8,48.5,112.2,738.5,1429.8,199.7
1980,Wisconsin,182.6,4616,2.9,14.9,70.7,94.1,1079.4,3291.4,245.2
1980,Wyoming,392.6,4593.8,6.2,28.6,44.4,313.5,903.7,3344.9,345.2
