year,state,violent_crime_rate,property_crime_rate,murder_rate,rape_rate,robbery_rate,aggravated_assault_rate,burglary_rate,larceny_theft_rate,motor_vehicle_theft_rate
2009,Alabama,450.1,3780.4,6.8,31.9,133.1,278.3,1037.3,2507.5,235.5
2009,Alaska,633.4,2940.4,3.1,73.4,93.6,463.2,515.4,2183.5,241.5
2009,Arizona,426.5,3589,5.8,34.6,124.3,261.8,823.4,2364.8,400.8
2009,Arkansas,515.8,3775,6.2,47.7,89.2,372.8,1202.8,2361.3,211
2009,California,473.3,2731,5.3,23.6,173.4,271,622.8,1665,443.3
2009,Colorado,338.8,2670.7,3.2,45.2,67.1,223.4,530.1,1892.2,248.4
2009,Connecticut,300.9,2348.4,3,18.7,113.7,165.5,431.2,1705.1,212.1
2009,Delaware,645.4,3353.8,4.6,44.6,189.8,406.4,784.4,2354,215.3
2009,District of Columbia,1348.9,4751.9,24.2,25,734.4,565.3,616.4,3213,922.5
2009,Florida,612.5,3840.8,5.5,29.7,166.7,410.6,981.1,2588.6,271.1
2009,Georgia,428,3672.6,5.8,23.6,148.9,249.8,1003.2,2332,337.4
2009,Hawaii,274.1,3668.7,1.8,29.7,79.5,163.1,713.7,2580,375
2009,Idaho,246.2,2019.7,1.6,37.2,16.4,191,432.3,1492.2,95.2
2009,Illinois,497.2,2736.9,6,30.2,177.6,283.4,603,1927.3,206.6
2009,Indiana,334,3112.3,4.9,25.2,114.4,189.5,761,2135.9,215.4
2009,Iowa,282.1,2329.9,1.3,29.6,39.9,211.3,545.9,1654.2,129.8
2009,Kansas,406.6,3225.9,4.4,41.8,63.4,296.9,690.8,2323.7,211.4
2009,Kentucky,255,2524.6,4.3,35.5,84.4,130.8,692.6,1690.7,141.3
2009,Louisiana,642.9,3842.7,11.8,30.1,136.9,464.1,1044.7,2540.1,258
2009,Maine,119.9,2405.1,2,28.4,30.3,59.2,510.4,1817.1,77.5
2009,Maryland,590,3198.5,7.7,20.3,210.7,351.3,647.5,2206.7,344.2
2009,Massachusetts,462.6,2323.1,2.6,26.3,113.2,320.4,523.5,1619.7,179.9
2009,Michigan,499.8,2848.8,6.2,45.4,124.6,323.5,762.8,1791.7,294.3
2009,Minnesota,244.5,2644.9,1.4,34,68.7,140.4,485.7,1996.9,162.3
2009,Mississippi,286.3,2958.2,6.6,33.6,100.6,145.6,1001.3,1772.7,184.2
2009,Missouri,492.9,3370,6.5,26.8,124.2,335.4,728,2350.9,291.1
2009,Montana,287,2546.3,3.3,36.6,23.4,223.7,378.1,2002.9,165.3
2009,Nebraska,289.4,2768,2.3,34.3,67.9,184.8,485.7,2087,195.3
2009,Nevada,705.2,3063.7,5.9,38.7,228.1,432.5,836.7,1757.9,469.1
2009,New Hampshire,160.4,2173.5,0.8,30.1,34.3,95.2,371.1,1717.4,85.1
2009,New Jersey,311.4,2075.8,3.7,12,133.7,162.1,424.3,1473.4,178
2009,New Mexico,632.4,3714,9.9,53.2,96.1,473.2,1092.5,2298,323.5
2009,New York,384.4,1932,4,13.2,144,223.1,321.2,1498.8,111.9
2009,North Carolina,404.5,3663.9,5.2,24.6,126.1,248.7,1149.5,2301.7,212.7
2009,North Dakota,266.4,1980.8,1.9,45.8,16.5,202.2,375.1,1464.6,141.1
2009,Ohio,331.9,3261.3,4.6,35.7,153.1,138.5,901.1,2163.9,196.3
2009,Oklahoma,503.4,3589.6,6.3,41.6,91.1,364.3,1032.6,2273.2,283.9
2009,Oregon,260.6,3000.3,2.3,31.4,65.3,161.5,516,2223.5,260.8
2009,Pennsylvania,382.3,2199,5.3,28.8,138.9,209.4,434.5,1623.1,141.4
2009,Rhode Island,254.3,2616.6,3,28.1,74.5,148.6,546.2,1842.3,228.1
2009,South Carolina,675.2,3909.2,6.7,36.5,126.1,506,996.3,2614.4,298.5
2009,South Dakota,218.7,1769.9,3.7,61.7,14.4,139,322.6,1340.6,106.6
2009,Tennessee,666,3766.6,7.4,32.1,153.3,473.2,1013.8,2514.3,238.5
2009,Texas,491,4015.3,5.4,33.5,153.4,298.7,968.7,2737.7,309
2009,Utah,215.4,3295,1.4,33.8,46.8,133.4,547.9,2497.9,249.1
2009,Vermont,134.6,2414.1,1.3,21.2,17.9,94.2,558.3,1783.6,72.2
2009,Virginia,230.8,2461.4,4.7,19.9,80.5,125.7,405.4,1907.7,148.3
2009,Washington,336.3,3679.6,2.9,38.8,100.7,194,796,2527.3,356.3
2009,West Virginia,305.2,2539.6,4.6,25.8,50.2,224.5,659.7,1728.4,151.5
2009,Wisconsin,259.1,2611.8,2.6,19.8,86.7,150,474.2,1979.7,158
2009,Wyoming,219.7,2616.9,2,31.6,14.3,171.8,399.8,2078,139.1
